time [h]	EFH_8 [W]
1753	193.80
1754	204.60
1755	201.60
1756	208.20
1757	4215.00
1758	3576.30
1759	2376.90
1760	1601.00
1761	891.40
1762	600.10
1763	257.40
1764	85.80
1765	22.50
1766	0.00
1767	0.00
1768	0.00
1769	107.60
1770	299.20
1771	461.20
1772	1063.60
1773	684.80
1774	974.90
1775	117.60
1776	157.30
1777	179.40
1778	186.20
1779	202.70
1780	217.90
1781	4830.60
1782	3825.70
1783	2006.70
1784	1131.60
1785	552.60
1786	224.70
1787	105.90
1788	63.20
1789	21.80
1790	0.00
1791	12.10
1792	83.40
1793	295.90
1794	512.30
1795	499.20
1796	1234.70
1797	837.10
1798	955.60
1799	88.20
1800	120.10
1801	141.50
1802	154.30
1803	158.00
1804	164.10
1805	3921.20
1806	3095.70
1807	2279.70
1808	1985.00
1809	1461.00
1810	1271.10
1811	1089.10
1812	966.10
1813	762.20
1814	762.50
1815	876.70
1816	1076.90
1817	1441.60
1818	1596.00
1819	1338.10
1820	2152.20
1821	1586.60
1822	1676.70
1823	93.30
1824	116.40
1825	128.70
1826	145.00
1827	164.50
1828	176.20
1829	4988.00
1830	3807.80
1831	2499.60
1832	2044.00
1833	1085.90
1834	1233.90
1835	1158.00
1836	819.70
1837	149.30
1838	33.90
1839	60.10
1840	278.90
1841	799.50
1842	1206.00
1843	1422.60
1844	2214.70
1845	1544.40
1846	1641.00
1847	108.60
1848	135.40
1849	175.80
1850	207.80
1851	216.90
1852	235.20
1853	6166.70
1854	4956.50
1855	2739.90
1856	1229.60
1857	567.00
1858	391.20
1859	259.20
1860	169.90
1861	117.80
1862	35.10
1863	32.20
1864	98.60
1865	296.90
1866	570.40
1867	707.50
1868	1435.60
1869	1024.80
1870	1353.40
1871	171.80
1872	208.80
1873	228.70
1874	251.10
1875	274.20
1876	298.50
1877	6344.80
1878	5238.70
1879	3521.20
1880	1895.30
1881	1003.70
1882	550.40
1883	336.60
1884	168.20
1885	77.60
1886	14.30
1887	11.90
1888	100.00
1889	382.40
1890	647.20
1891	726.60
1892	1710.90
1893	1260.10
1894	1677.00
1895	173.30
1896	210.00
1897	242.10
1898	263.40
1899	282.60
1900	297.30
1901	6609.20
1902	5446.70
1903	3352.20
1904	1481.20
1905	689.00
1906	378.90
1907	170.80
1908	96.40
1909	64.50
1910	50.40
1911	110.70
1912	338.10
1913	510.70
1914	623.20
1915	607.00
1916	1530.20
1917	987.70
