Time [h]	ConstructionInstance(id=2).FluxShortWaveRadiationA [W]	ConstructionInstance(id=11).FluxShortWaveRadiationA [W]	ConstructionInstance(id=2).FluxShortWaveRadiationB [W]	ConstructionInstance(id=11).FluxShortWaveRadiationB [W]	ConstructionInstance(id=2).SolarRadiationFluxA [W/m2]	ConstructionInstance(id=11).SolarRadiationFluxA [W/m2]	ConstructionInstance(id=2).SolarRadiationFluxB [W/m2]	ConstructionInstance(id=11).SolarRadiationFluxB [W/m2]
4041.5	486.747	81.1246	1362.89	227.149	0	0	227.149	227.149
4042	564.029	94.0048	1579.28	263.214	0	0	263.214	263.214
4042.5	630.373	105.062	1765.05	294.174	0	0	294.174	294.174
4043	669.932	111.655	1875.81	312.635	0	0	312.635	312.635
4043.5	693.908	115.651	1942.94	323.824	0	0	323.824	323.824
4044	720.903	120.151	2018.53	336.422	0	0	336.422	336.422
4044.5	732.571	122.095	2051.2	341.866	0	0	341.866	341.866
4045	712.478	118.746	1994.94	332.49	0	0	332.49	332.49
4045.5	677.076	112.846	1895.81	315.969	0	0	315.969	315.969
4046	621.298	103.55	1739.63	289.939	0	0	289.939	289.939
4046.5	552.924	92.1539	1548.19	258.031	0	0	258.031	258.031
